date,lastUpdateTime,total_confirm,total_dead,total_heal,total_input,total_severe,total_storeConfirm,total_suspect,today_confirm,today_dead,today_heal,today_input,today_severe,today_storeConfirm,today_suspect
2020/1/13,,41,1,0,0,,0,0,0,0,0,0,,0,0
2020/1/14,,41,1,0,0,,0,0,0,0,0,0,,0,0
2020/1/15,,41,2,5,0,,0,0,0,0,0,0,,0,0
2020/1/16,,45,2,8,0,,0,0,0,0,0,0,,0,0
2020/1/17,,62,2,12,0,,0,0,0,0,0,0,,0,0
2020/1/18,,198,3,17,0,,0,0,0,0,0,0,,0,0
2020/1/19,,275,4,18,0,,0,0,0,0,0,0,,0,0
2020/1/20,,291,6,25,0,,291,0,77,0,0,0,,0,27
2020/1/21,,440,9,25,0,,431,0,149,0,0,0,,0,53
2020/1/22,,574,17,25,0,,557,0,131,0,0,0,,0,257
2020/1/23,,835,25,34,0,,776,0,259,0,0,0,,0,680
2020/1/24,,1297,41,38,0,,1218,0,444,0,0,0,,0,1118
2020/1/25,,1985,56,49,0,,1880,0,688,0,0,0,,0,1309
2020/1/26,,2761,80,51,0,,2630,0,769,0,0,0,,0,3806
2020/1/27,,4535,106,60,0,,4369,0,1771,0,0,0,,0,2077
2020/1/28,,5997,132,103,0,,5762,0,1459,0,0,0,,0,3248
2020/1/29,,7736,170,124,0,,7442,0,1737,0,0,0,,0,4148
2020/1/30,,9720,213,171,0,,9336,0,1982,0,0,0,,0,4812
2020/1/31,,11821,259,243,0,,11319,0,2102,0,0,0,,0,5019
2020/2/1,,14411,304,328,0,,13779,0,2590,0,0,0,,0,4562
2020/2/2,,17238,361,475,0,,16402,0,2829,0,0,0,,0,5173
2020/2/3,,20471,425,632,0,,19414,0,3235,0,0,0,,0,5072
2020/2/4,,24363,491,892,0,,22980,0,3893,0,0,0,,0,3971
2020/2/5,,28060,564,1153,0,,26343,0,3697,0,0,0,,0,5328
2020/2/6,,31211,637,1542,0,,29032,0,3143,0,0,0,,0,4833
2020/2/7,,34598,723,2052,0,,31823,0,3401,0,0,0,,0,4214
2020/2/8,,37251,812,2651,0,,33788,0,2656,0,0,0,,0,3916
2020/2/9,,40235,909,3283,0,,36043,0,3062,0,0,0,,0,4008
2020/2/10,,42708,1017,3998,0,,37693,0,2484,0,0,0,,0,3536
2020/2/11,,44730,1114,4742,0,,38874,0,2022,0,0,0,,0,3342
2020/2/12,,59882,1368,5915,0,,52599,0,15153,0,0,0,,0,2807
2020/2/13,,63932,1381,6728,0,,55823,0,5093,0,0,0,,0,2450
2020/2/14,,66576,1524,8101,0,,56951,0,2644,0,0,0,,0,2277
2020/2/15,,68584,1666,9425,0,,57493,0,2009,0,0,0,,0,1918
2020/2/16,,70635,1772,10853,0,,58010,0,2051,0,0,0,,0,1563
2020/2/17,,72528,1870,12561,0,,58097,0,1891,0,0,0,,0,1432
2020/2/18,,74279,2006,14387,0,,57886,0,1751,0,0,0,,0,1185
2020/2/19,,75002,2121,16157,0,,56386,0,820,0,0,0,,0,1277
2020/2/20,,75993,2239,18266,0,,55051,0,892,0,0,0,,0,1614
2020/2/21,,76392,2348,20673,0,,53371,0,399,0,0,0,,0,1361
2020/2/22,,77041,2445,22907,0,,51689,0,649,0,0,0,,0,882
2020/2/23,,77262,2595,24757,0,,49910,0,416,0,0,0,,0,620
2020/2/24,,77779,2666,27353,0,,47760,0,517,0,0,0,,0,530
2020/2/25,,78190,2718,29775,0,,45697,0,411,0,0,0,,0,439
2020/2/26,,78630,2747,32531,0,,43352,0,440,0,0,0,,0,508
2020/2/27,,78959,2791,36157,0,,40011,0,329,0,0,0,,0,452
2020/2/28,,79389,2838,39049,0,,37502,0,430,0,0,0,,0,248
2020/2/29,,79968,2873,41675,0,,35420,0,579,0,0,0,,0,132
2020/3/1,,80174,2915,44518,0,,32741,0,206,0,0,0,,0,141
2020/3/2,,80302,2946,47260,0,,30096,0,128,0,0,0,,0,129
2020/3/3,,80422,2984,49914,0,,27524,0,120,0,0,0,,0,143
2020/3/4,,80565,3015,52109,20,,25441,0,143,0,0,2,,0,143
2020/3/5,,80710,3045,53793,36,,23872,0,145,0,0,16,,0,102
2020/3/6,,80813,3073,55477,60,,22263,0,103,0,0,24,,0,99
2020/3/7,,80859,3100,57143,63,,20616,0,46,0,0,3,,0,84
2020/3/8,,80904,3123,58684,67,,19097,0,45,0,0,4,,0,60
2020/3/9,,80924,3140,59982,69,,17802,0,20,0,0,2,,0,36
2020/3/10,,80955,3162,61567,79,,16226,0,31,0,0,10,,0,31
2020/3/11,,80992,3173,62887,85,,14920,0,25,0,0,6,,0,33
2020/3/12,,81003,3180,64216,88,,13607,0,11,0,0,3,,0,33
2020/3/13,,81021,3194,65649,95,,12178,0,18,0,0,7,,0,17
2020/3/14,,81048,3204,67022,111,,10822,0,27,0,0,16,,0,39
2020/3/15,,81077,3218,67863,123,,9996,0,29,0,0,12,,0,41
2020/3/16,,81116,3231,68799,143,,9086,0,39,0,0,20,,0,45
2020/3/17,,81151,3242,69725,155,,8184,0,35,0,0,12,,0,21
2020/3/18,,81235,3250,70547,189,,7438,0,84,0,0,34,,0,23
2020/3/19,,81300,3253,71284,228,,6763,0,65,0,0,39,,0,31
2020/3/20,,81416,3261,71876,269,,6013,0,116,0,0,41,,0,36
2020/3/21,,81498,3267,72382,314,,5849,0,82,0,0,45,,0,45
2020/3/22,,81600,3276,72841,353,,5483,0,102,0,0,39,,0,47
2020/3/23,,81747,3283,73299,427,,5165,0,147,0,0,74,,0,35
2020/3/24,,81846,3287,73791,474,,4768,0,99,0,0,47,,0,33
2020/3/25,,81960,3293,74196,541,,4471,0,114,0,0,67,,0,58
2020/3/26,,82078,3298,74737,595,,4043,0,118,0,0,54,,0,49
2020/3/27,,82213,3301,75122,649,,3790,0,135,0,0,54,,0,29
2020/3/28,,82341,3306,75600,693,,3435,0,128,0,0,44,,0,28
2020/3/29,,82447,3311,75937,723,,3199,0,106,0,0,30,,0,17
2020/3/30,,82545,3314,76225,771,,3006,0,98,0,0,48,,0,44
2020/3/31,,82631,3321,76415,806,,2895,0,86,0,0,35,,0,26
2020/4/1,,82724,3327,76610,841,,2787,0,93,0,0,35,,0,20
2020/4/2,,82802,3331,76785,870,,2686,0,78,0,0,29,,0,12
2020/4/3,,82861,3335,76984,888,,2556,0,73,0,0,18,,0,11
2020/4/4,,82930,3338,77210,913,,2382,0,55,0,0,25,,0,11
2020/4/5,,83005,3340,77348,951,,2317,0,75,0,0,38,,0,10
2020/4/6,,83071,3340,77450,983,,2281,0,66,0,0,32,,0,12
2020/4/7,,83157,3342,77586,1042,,2229,0,86,0,0,59,,0,12
2020/4/8,,83249,3344,77711,1103,,2194,0,92,0,0,61,,0,17
2020/4/9,,83305,3345,77838,1141,,2122,0,56,0,0,38,,0,3
2020/4/10,,83369,3349,77935,1183,,2085,0,64,0,0,42,,0,8
2020/4/11,,83482,3349,78020,1280,,2113,0,113,0,0,97,,0,49
2020/4/12,,83602,3351,78145,1378,,2106,0,115,0,0,98,,0,6
2020/4/13,,83696,3351,78262,1464,,2083,0,99,0,0,86,,0,3
2020/4/14,,83745,3352,78389,1500,,2004,0,49,0,0,36,,0,11
2020/4/15,,83797,3352,78504,1534,,1941,0,52,0,0,34,,0,4
2020/4/16,,83824,3352,78600,1549,,1872,0,27,0,0,15,,0,3
2020/4/17,,84180,4642,77744,1566,,1794,0,31,0,0,17,,0,5
2020/4/18,,84201,4642,77825,1575,,1734,0,21,0,0,9,,0,2
2020/4/19,,84237,4642,77895,1583,,1700,0,36,0,0,8,,0,2
2020/4/20,,84250,4642,77978,1587,,1630,0,13,0,0,4,,0,3
2020/4/21,,84287,4642,78042,1610,,1603,0,37,0,0,23,,0,3
2020/4/22,,84302,4642,78147,1616,,1513,0,15,0,0,6,,0,0
2020/4/23,,84311,4642,78236,1618,,1433,0,9,0,0,2,,0,2
2020/4/24,,84324,4642,78362,1629,,1320,0,13,0,0,11,,0,3
2020/4/25,,84338,4642,78450,1634,,1246,0,14,0,0,5,,0,0
